
Epoch: 54/200 | Batch 402/402 | Batch time 0.077 || Loss: 5.645742 | loc loss:4.619876 | class loss:1.025866
Epoch: 55/200 | Batch 402/402 | Batch time 0.086 || Loss: 4.766779 | loc loss:3.651729 | class loss:1.115050
Epoch: 56/200 | Batch 402/402 | Batch time 0.058 || Loss: 3.274891 | loc loss:2.317076 | class loss:0.957815
Epoch: 57/200 | Batch 402/402 | Batch time 0.080 || Loss: 4.084367 | loc loss:2.896563 | class loss:1.187804
Epoch: 58/200 | Batch 402/402 | Batch time 0.082 || Loss: 5.406212 | loc loss:4.459537 | class loss:0.946675
Epoch: 59/200 | Batch 402/402 | Batch time 0.079 || Loss: 3.819057 | loc loss:2.860107 | class loss:0.958950
Epoch: 60/200 | Batch 402/402 | Batch time 0.060 || Loss: 6.396404 | loc loss:5.264926 | class loss:1.131478
Epoch: 61/200 | Batch 402/402 | Batch time 0.058 || Loss: 4.768247 | loc loss:3.727862 | class loss:1.040385
Epoch: 62/200 | Batch 402/402 | Batch time 0.059 || Loss: 4.651593 | loc loss:3.398767 | class loss:1.252826
Epoch: 63/200 | Batch 402/402 | Batch time 0.094 || Loss: 5.462269 | loc loss:4.446885 | class loss:1.015384
Epoch: 64/200 | Batch 402/402 | Batch time 0.083 || Loss: 5.593334 | loc loss:4.630011 | class loss:0.963324
Epoch: 65/200 | Batch 402/402 | Batch time 0.068 || Loss: 4.812419 | loc loss:3.660074 | class loss:1.152345
Epoch: 66/200 | Batch 402/402 | Batch time 0.077 || Loss: 5.421836 | loc loss:4.223053 | class loss:1.198783
Epoch: 67/200 | Batch 402/402 | Batch time 0.088 || Loss: 5.189530 | loc loss:4.043873 | class loss:1.145657
Epoch: 68/200 | Batch 402/402 | Batch time 0.070 || Loss: 6.180730 | loc loss:5.022425 | class loss:1.158304
Epoch: 69/200 | Batch 402/402 | Batch time 0.086 || Loss: 4.550023 | loc loss:3.605556 | class loss:0.944466
Epoch: 70/200 | Batch 402/402 | Batch time 0.072 || Loss: 5.014402 | loc loss:4.022506 | class loss:0.991896
Epoch: 71/200 | Batch 402/402 | Batch time 0.085 || Loss: 4.884380 | loc loss:3.748225 | class loss:1.136155
Epoch: 72/200 | Batch 402/402 | Batch time 0.080 || Loss: 2.380358 | loc loss:1.380973 | class loss:0.999385
Epoch: 73/200 | Batch 402/402 | Batch time 0.096 || Loss: 5.250884 | loc loss:4.199195 | class loss:1.051689
Epoch: 74/200 | Batch 402/402 | Batch time 0.078 || Loss: 5.031135 | loc loss:4.014749 | class loss:1.016386
Epoch: 75/200 | Batch 402/402 | Batch time 0.081 || Loss: 4.742800 | loc loss:3.683052 | class loss:1.059749
Epoch: 76/200 | Batch 402/402 | Batch time 0.058 || Loss: 6.196207 | loc loss:5.246487 | class loss:0.949719
Epoch: 77/200 | Batch 402/402 | Batch time 0.090 || Loss: 5.372168 | loc loss:4.177605 | class loss:1.194563
Epoch: 78/200 | Batch 402/402 | Batch time 0.087 || Loss: 3.899077 | loc loss:2.979206 | class loss:0.919871
Epoch: 79/200 | Batch 402/402 | Batch time 0.084 || Loss: 5.374990 | loc loss:4.292412 | class loss:1.082579
Epoch: 80/200 | Batch 402/402 | Batch time 0.077 || Loss: 3.951227 | loc loss:2.870613 | class loss:1.080614
Epoch: 81/200 | Batch 402/402 | Batch time 0.068 || Loss: 5.505399 | loc loss:4.405716 | class loss:1.099683
Epoch: 82/200 | Batch 402/402 | Batch time 0.052 || Loss: 3.948504 | loc loss:3.014203 | class loss:0.934302
Epoch: 83/200 | Batch 402/402 | Batch time 0.077 || Loss: 3.465896 | loc loss:2.434809 | class loss:1.031087
Epoch: 84/200 | Batch 402/402 | Batch time 0.052 || Loss: 6.258502 | loc loss:4.817137 | class loss:1.441365
Epoch: 85/200 | Batch 402/402 | Batch time 0.077 || Loss: 3.587290 | loc loss:2.596488 | class loss:0.990802
Epoch: 86/200 | Batch 402/402 | Batch time 0.074 || Loss: 4.458077 | loc loss:3.553020 | class loss:0.905058
Epoch: 87/200 | Batch 402/402 | Batch time 0.084 || Loss: 6.375008 | loc loss:5.033203 | class loss:1.341805
Epoch: 88/200 | Batch 402/402 | Batch time 0.083 || Loss: 5.072676 | loc loss:4.061140 | class loss:1.011536
Epoch: 89/200 | Batch 402/402 | Batch time 0.078 || Loss: 4.949232 | loc loss:3.818171 | class loss:1.131061
Epoch: 90/200 | Batch 402/402 | Batch time 0.071 || Loss: 5.571540 | loc loss:4.441491 | class loss:1.130049
Epoch: 91/200 | Batch 402/402 | Batch time 0.060 || Loss: 3.310189 | loc loss:2.388178 | class loss:0.922011
Epoch: 92/200 | Batch 402/402 | Batch time 0.084 || Loss: 4.226727 | loc loss:3.247337 | class loss:0.979390
Epoch: 93/200 | Batch 402/402 | Batch time 0.090 || Loss: 3.694958 | loc loss:2.763274 | class loss:0.931684
Epoch: 94/200 | Batch 402/402 | Batch time 0.085 || Loss: 4.846940 | loc loss:3.816122 | class loss:1.030818
Epoch: 95/200 | Batch 402/402 | Batch time 0.063 || Loss: 6.947642 | loc loss:5.833890 | class loss:1.113752
Epoch: 96/200 | Batch 402/402 | Batch time 0.056 || Loss: 5.245877 | loc loss:4.152222 | class loss:1.093655
Epoch: 97/200 | Batch 402/402 | Batch time 0.084 || Loss: 4.833363 | loc loss:3.776312 | class loss:1.057051
Epoch: 98/200 | Batch 402/402 | Batch time 0.084 || Loss: 4.711059 | loc loss:3.753645 | class loss:0.957413
Epoch: 99/200 | Batch 402/402 | Batch time 0.072 || Loss: 5.261698 | loc loss:4.293816 | class loss:0.967883
Epoch: 100/200 | Batch 402/402 | Batch time 0.076 || Loss: 4.641495 | loc loss:3.632801 | class loss:1.008694
Epoch: 101/200 | Batch 402/402 | Batch time 0.081 || Loss: 3.701409 | loc loss:2.874339 | class loss:0.827070
Epoch: 102/200 | Batch 402/402 | Batch time 0.066 || Loss: 4.177251 | loc loss:3.123344 | class loss:1.053907
Epoch: 103/200 | Batch 402/402 | Batch time 0.074 || Loss: 4.816642 | loc loss:3.961852 | class loss:0.854790
Epoch: 104/200 | Batch 402/402 | Batch time 0.079 || Loss: 5.827618 | loc loss:4.961862 | class loss:0.865756
Epoch: 105/200 | Batch 402/402 | Batch time 0.064 || Loss: 4.173398 | loc loss:3.221880 | class loss:0.951518
Epoch: 106/200 | Batch 402/402 | Batch time 0.093 || Loss: 2.831936 | loc loss:1.756886 | class loss:1.075050
Epoch: 107/200 | Batch 402/402 | Batch time 0.091 || Loss: 4.747489 | loc loss:3.330390 | class loss:1.417099
Epoch: 108/200 | Batch 402/402 | Batch time 0.086 || Loss: 7.576272 | loc loss:6.412570 | class loss:1.163702
Epoch: 109/200 | Batch 402/402 | Batch time 0.082 || Loss: 5.261965 | loc loss:4.121953 | class loss:1.140012
Epoch: 110/200 | Batch 402/402 | Batch time 0.059 || Loss: 3.979664 | loc loss:2.945184 | class loss:1.034480
Epoch: 111/200 | Batch 402/402 | Batch time 0.070 || Loss: 6.288319 | loc loss:5.342263 | class loss:0.946056
Epoch: 112/200 | Batch 402/402 | Batch time 0.046 || Loss: 6.727010 | loc loss:5.344697 | class loss:1.382313
Epoch: 113/200 | Batch 402/402 | Batch time 0.051 || Loss: 3.966388 | loc loss:2.938986 | class loss:1.027402
Epoch: 114/200 | Batch 402/402 | Batch time 0.080 || Loss: 4.570692 | loc loss:3.709907 | class loss:0.860785
Epoch: 115/200 | Batch 402/402 | Batch time 0.088 || Loss: 4.995283 | loc loss:3.850592 | class loss:1.144690
Epoch: 116/200 | Batch 402/402 | Batch time 0.053 || Loss: 4.839205 | loc loss:3.712418 | class loss:1.126787
Epoch: 117/200 | Batch 402/402 | Batch time 0.057 || Loss: 4.278563 | loc loss:3.122727 | class loss:1.155837
Epoch: 118/200 | Batch 402/402 | Batch time 0.068 || Loss: 5.539164 | loc loss:4.584510 | class loss:0.954653
Epoch: 119/200 | Batch 402/402 | Batch time 0.092 || Loss: 2.864264 | loc loss:2.269787 | class loss:0.594477
Epoch: 120/200 | Batch 402/402 | Batch time 0.073 || Loss: 3.479273 | loc loss:2.415209 | class loss:1.064063
Epoch: 121/200 | Batch 402/402 | Batch time 0.080 || Loss: 4.998868 | loc loss:4.075359 | class loss:0.923509
Epoch: 122/200 | Batch 402/402 | Batch time 0.076 || Loss: 4.846772 | loc loss:3.765604 | class loss:1.081168
Epoch: 123/200 | Batch 402/402 | Batch time 0.077 || Loss: 3.747156 | loc loss:2.590953 | class loss:1.156203
Epoch: 124/200 | Batch 402/402 | Batch time 0.084 || Loss: 3.158393 | loc loss:2.252278 | class loss:0.906115
Epoch: 125/200 | Batch 402/402 | Batch time 0.047 || Loss: 4.247168 | loc loss:3.045954 | class loss:1.201214
Epoch: 126/200 | Batch 402/402 | Batch time 0.079 || Loss: 3.759153 | loc loss:2.845347 | class loss:0.913806
Epoch: 127/200 | Batch 402/402 | Batch time 0.077 || Loss: 5.639300 | loc loss:4.676645 | class loss:0.962655
Epoch: 128/200 | Batch 402/402 | Batch time 0.058 || Loss: 4.538358 | loc loss:3.619401 | class loss:0.918957
Epoch: 129/200 | Batch 402/402 | Batch time 0.079 || Loss: 5.398776 | loc loss:4.532391 | class loss:0.866385
Epoch: 130/200 | Batch 402/402 | Batch time 0.057 || Loss: 4.890322 | loc loss:3.823948 | class loss:1.066374
Epoch: 131/200 | Batch 402/402 | Batch time 0.072 || Loss: 3.485916 | loc loss:2.587440 | class loss:0.898477
Epoch: 132/200 | Batch 402/402 | Batch time 0.059 || Loss: 3.889179 | loc loss:2.879515 | class loss:1.009665
Epoch: 133/200 | Batch 402/402 | Batch time 0.086 || Loss: 4.474259 | loc loss:3.624300 | class loss:0.849959
Epoch: 134/200 | Batch 402/402 | Batch time 0.055 || Loss: 4.132096 | loc loss:3.112442 | class loss:1.019654
Epoch: 135/200 | Batch 402/402 | Batch time 0.056 || Loss: 4.474604 | loc loss:3.371982 | class loss:1.102621
Epoch: 136/200 | Batch 402/402 | Batch time 0.048 || Loss: 6.217022 | loc loss:5.394116 | class loss:0.822906
Epoch: 137/200 | Batch 402/402 | Batch time 0.063 || Loss: 3.752950 | loc loss:2.803842 | class loss:0.949108
Epoch: 138/200 | Batch 402/402 | Batch time 0.074 || Loss: 4.385592 | loc loss:3.438756 | class loss:0.946836
